epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,2.70459,4.33567,6.47486,7.05859,1.98495,0,0.00027,0.01852,0.00011,2e-05,0,0,0,0,3.82561,7.70303,6.73058,2.09758,0,4.55e-06,4.55e-06,4.55e-06
2,3.12769,4.15039,6.80454,7.01401,1.80804,0,0.00028,0.01852,0.0001,2e-05,0,0,0,0,3.81439,7.62365,6.78544,2.09651,0,1.34811e-05,1.34811e-05,1.34811e-05
3,3.63473,4.41702,6.78439,6.64881,1.79713,0,0.00013,0.00926,5e-05,1e-05,0,0,0,0,3.77451,7.00034,6.6483,2.03279,0,2.21869e-05,2.21869e-05,2.21869e-05
4,4.21301,3.40761,4.40595,6.07639,1.78536,0,0.00211,0.06019,0.00117,0.00032,0.00186,0.04167,0.00104,0.00019,3.48494,5.05498,5.61367,1.73705,0,3.06676e-05,3.06676e-05,3.06676e-05
5,4.80066,3.43535,4.02189,5.84595,1.63014,0,0.00214,0.06019,0.0017,0.00042,0.00189,0.04167,0.00155,0.00027,3.2283,3.96847,5.26231,1.50484,0,3.8923e-05,3.8923e-05,3.8923e-05
6,5.40141,3.12883,3.92197,5.33752,1.37412,0,0.00482,0.10516,0.00764,0.0013,0.00402,0.07738,0.00364,0.00049,2.75512,3.26355,4.90399,1.27896,0,4.69532e-05,4.69532e-05,4.69532e-05
7,6.00023,2.41744,3.92605,5.86232,1.12798,0,0.00884,0.17791,0.00633,0.00198,0.00831,0.15476,0.00567,0.00185,2.20956,3.06723,4.72328,1.05601,0,5.47581e-05,5.47581e-05,5.47581e-05
8,6.6727,1.88325,3.42674,4.76202,1.04107,0,0.0113,0.16071,0.00487,0.00279,0.01158,0.15476,0.00485,0.00284,1.9933,2.8814,4.57377,0.9698,0,6.23378e-05,6.23378e-05,6.23378e-05
9,7.2149,1.80653,3.13194,4.28291,1.01626,0,0.01994,0.2123,0.0206,0.01327,0.01934,0.20437,0.01978,0.01622,1.82277,2.56603,4.29667,0.92222,0,6.96923e-05,6.96923e-05,6.96923e-05
10,7.84927,2.93355,3.41253,4.17567,0.98224,0,0.02978,0.26905,0.04385,0.02443,0.02978,0.26905,0.04385,0.03315,1.75079,2.2854,4.0026,0.90023,0,7.68216e-05,7.68216e-05,7.68216e-05
11,8.37755,1.75246,2.28976,3.90022,0.97943,0,0.04979,0.42857,0.0451,0.02442,0.04907,0.42063,0.04422,0.02662,1.59394,2.02256,4.16301,0.87465,0,8.37257e-05,8.37257e-05,8.37257e-05
12,8.83668,1.79038,2.57802,3.30663,0.91726,0,0.04979,0.42857,0.0451,0.02442,0.04907,0.42063,0.04422,0.02662,1.59394,2.02256,4.16301,0.87465,0,9.04045e-05,9.04045e-05,9.04045e-05
13,9.30751,1.62206,2.24279,3.56783,0.90956,0,0.35239,0.19637,0.07916,0.04455,0.35094,0.18843,0.07405,0.04294,1.45089,1.84195,4.41502,0.85357,0,9.68581e-05,9.68581e-05,9.68581e-05
14,9.83677,1.79022,2.16714,3.27852,0.87428,0,0.0725,0.53373,0.10772,0.06355,0.06493,0.49802,0.10056,0.05977,1.37901,1.78236,4.22794,0.86044,0,0.000103087,0.000103087,0.000103087
15,10.388,1.75592,2.381,3.04721,0.85394,0,0.0725,0.53373,0.10772,0.06355,0.06493,0.49802,0.10056,0.05977,1.37901,1.78236,4.22794,0.86044,0,0.00010909,0.00010909,0.00010909
16,10.9332,1.48432,1.7686,2.95348,0.86969,0,0.2307,0.3839,0.0843,0.04681,0.22651,0.3685,0.07888,0.04021,1.38743,1.87867,3.86969,0.86862,0,0.000114868,0.000114868,0.000114868
17,11.4525,1.51941,2.10416,2.79626,0.85809,0,0.11877,0.3942,0.09448,0.05278,0.17481,0.33479,0.08096,0.038,1.55139,2.18618,3.61196,0.89522,0,0.00012042,0.00012042,0.00012042
18,11.9376,1.24817,1.3095,2.78809,0.828,0,0.11877,0.3942,0.09448,0.05278,0.17481,0.33479,0.08096,0.038,1.55139,2.18618,3.61196,0.89522,0,0.000125748,0.000125748,0.000125748
19,12.4508,1.3186,1.46668,2.55736,0.84049,0,0.15775,0.30556,0.14773,0.08433,0.16181,0.2709,0.12903,0.07246,1.59778,2.27017,3.34325,0.90066,0,0.00013085,0.00013085,0.00013085
20,13.0008,1.89137,2.14871,2.8423,0.84285,0,0.15775,0.30556,0.14773,0.08433,0.16181,0.2709,0.12903,0.07246,1.59778,2.27017,3.34325,0.90066,0,0.000135727,0.000135727,0.000135727
21,13.6361,1.23781,1.34037,2.51471,0.84196,0,0.36767,0.26542,0.20246,0.12964,0.36921,0.2411,0.17813,0.09626,1.51861,1.89881,3.25748,0.88407,0,0.000140379,0.000140379,0.000140379
22,14.1933,1.16743,1.43563,2.27417,0.86358,0,0.36767,0.26542,0.20246,0.12964,0.36921,0.2411,0.17813,0.09626,1.51861,1.89881,3.25748,0.88407,0,0.000144805,0.000144805,0.000144805
23,15.0281,1.51155,1.42138,2.51792,0.83208,0,0.30886,0.30661,0.21471,0.14771,0.30518,0.29868,0.19159,0.10682,1.2984,1.41964,3.38334,0.84034,0,0.000149007,0.000149007,0.000149007
24,15.5991,1.17157,1.45358,2.22298,0.83736,0,0.30886,0.30661,0.21471,0.14771,0.30518,0.29868,0.19159,0.10682,1.2984,1.41964,3.38334,0.84034,0,0.000152983,0.000152983,0.000152983
25,16.1582,1.25983,1.15533,2.52972,0.81253,0,0.1101,0.86058,0.26946,0.19582,0.10011,0.83413,0.23264,0.14117,1.21,1.37997,3.42016,0.82231,0,0.000156734,0.000156734,0.000156734
26,16.6662,1.28889,1.39916,2.32423,0.82859,0,0.1101,0.86058,0.26946,0.19582,0.10011,0.83413,0.23264,0.14117,1.21,1.37997,3.42016,0.82231,0,0.00016026,0.00016026,0.00016026
27,17.1802,1.18347,1.21539,2.51902,0.86076,0,0.1101,0.86058,0.26946,0.19582,0.10011,0.83413,0.23264,0.14117,1.21,1.37997,3.42016,0.82231,0,0.00016356,0.00016356,0.00016356
28,17.7038,1.12331,1.37881,2.07213,0.80489,0,0.27874,0.51991,0.26879,0.18913,0.16378,0.53849,0.2261,0.15319,1.19459,1.4446,2.92339,0.81777,0,0.000166635,0.000166635,0.000166635
29,18.2347,1.22718,1.21498,2.15311,0.82006,0,0.27874,0.51991,0.26879,0.18913,0.16378,0.53849,0.2261,0.15319,1.19459,1.4446,2.92339,0.81777,0,0.000169485,0.000169485,0.000169485
30,18.8374,1.88839,2.02978,2.50417,0.80186,0,0.28343,0.41574,0.2745,0.19822,0.2593,0.40335,0.23645,0.16314,1.17462,1.40973,2.74649,0.81448,0,0.00017211,0.00017211,0.00017211
31,19.3674,1.20124,1.26279,2.08352,0.84019,0,0.28343,0.41574,0.2745,0.19822,0.2593,0.40335,0.23645,0.16314,1.17462,1.40973,2.74649,0.81448,0,0.00017451,0.00017451,0.00017451
32,19.8766,1.27759,1.46288,2.4732,0.80344,0,0.28343,0.41574,0.2745,0.19822,0.2593,0.40335,0.23645,0.16314,1.17462,1.40973,2.74649,0.81448,0,0.000176684,0.000176684,0.000176684
33,20.4022,1.15163,1.36146,1.96734,0.84702,0,0.22576,0.43743,0.28048,0.2067,0.13869,0.41098,0.23413,0.15464,1.16171,1.44988,2.4634,0.81605,0,0.000178633,0.000178633,0.000178633
34,20.8726,0.93034,0.97101,1.84996,0.82918,0,0.22576,0.43743,0.28048,0.2067,0.13869,0.41098,0.23413,0.15464,1.16171,1.44988,2.4634,0.81605,0,0.000180357,0.000180357,0.000180357
35,21.3826,1.03512,1.09887,2.0302,0.83169,0,0.22576,0.43743,0.28048,0.2067,0.13869,0.41098,0.23413,0.15464,1.16171,1.44988,2.4634,0.81605,0,0.000181856,0.000181856,0.000181856
36,21.9074,1.59241,1.61464,2.43914,0.81467,0,0.16419,0.40797,0.30374,0.21734,0.15632,0.39247,0.28529,0.1567,1.16361,1.29384,2.39722,0.81958,0,0.000183129,0.000183129,0.000183129
37,22.4859,1.03449,1.11971,2.18642,0.82392,0,0.16419,0.40797,0.30374,0.21734,0.15632,0.39247,0.28529,0.1567,1.16361,1.29384,2.39722,0.81958,0,0.000184177,0.000184177,0.000184177
38,23.0871,1.09102,1.16243,1.98449,0.81632,0,0.16419,0.40797,0.30374,0.21734,0.15632,0.39247,0.28529,0.1567,1.16361,1.29384,2.39722,0.81958,0,0.000185,0.000185,0.000185
39,23.5866,0.99166,0.9692,2.24329,0.8296,0,0.17657,0.51619,0.3015,0.2164,0.17015,0.50206,0.2848,0.16212,1.15214,1.2406,2.47266,0.81501,0,0.000185598,0.000185598,0.000185598
40,24.1903,1.42921,1.5862,2.04191,0.81753,0,0.17657,0.51619,0.3015,0.2164,0.17015,0.50206,0.2848,0.16212,1.15214,1.2406,2.47266,0.81501,0,0.00018597,0.00018597,0.00018597
41,24.7207,1.0426,1.17146,1.89545,0.81775,0,0.17657,0.51619,0.3015,0.2164,0.17015,0.50206,0.2848,0.16212,1.15214,1.2406,2.47266,0.81501,0,0.000186118,0.000186118,0.000186118
42,25.2511,1.16961,1.19654,2.03503,0.80102,0,0.17696,0.49631,0.28685,0.20725,0.16903,0.48098,0.26976,0.1595,1.13053,1.19646,2.42388,0.8094,0,0.00018604,0.00018604,0.00018604
43,25.7264,1.04474,0.9458,1.96897,0.80215,0,0.17696,0.49631,0.28685,0.20725,0.16903,0.48098,0.26976,0.1595,1.13053,1.19646,2.42388,0.8094,0,0.000185737,0.000185737,0.000185737
44,26.2098,1.70934,1.8679,2.09493,0.81093,0,0.17696,0.49631,0.28685,0.20725,0.16903,0.48098,0.26976,0.1595,1.13053,1.19646,2.42388,0.8094,0,0.000185208,0.000185208,0.000185208
45,26.6688,1.04124,1.0743,1.90808,0.80678,0,0.17696,0.49631,0.28685,0.20725,0.16903,0.48098,0.26976,0.1595,1.13053,1.19646,2.42388,0.8094,0,0.000184455,0.000184455,0.000184455
46,27.1436,1.03185,1.09381,1.8131,0.79121,0,0.18789,0.55277,0.27808,0.20132,0.18236,0.53689,0.26855,0.17042,1.08435,1.18322,2.28386,0.80321,0,0.000183476,0.000183476,0.000183476
47,27.6095,1.01947,1.14025,1.85614,0.78051,0,0.18789,0.55277,0.27808,0.20132,0.18236,0.53689,0.26855,0.17042,1.08435,1.18322,2.28386,0.80321,0,0.000182272,0.000182272,0.000182272
48,28.1019,1.02028,1.13258,1.78952,0.80895,0,0.18789,0.55277,0.27808,0.20132,0.18236,0.53689,0.26855,0.17042,1.08435,1.18322,2.28386,0.80321,0,0.000180843,0.000180843,0.000180843
49,28.5567,0.89495,1.03648,1.90031,0.82751,0,0.18789,0.55277,0.27808,0.20132,0.18236,0.53689,0.26855,0.17042,1.08435,1.18322,2.28386,0.80321,0,0.000179188,0.000179188,0.000179188
50,29.1514,1.14877,1.23515,1.82193,0.81279,0,0.16549,0.47954,0.27018,0.1962,0.16199,0.4716,0.25981,0.15815,1.04283,1.13142,2.25002,0.79439,0,0.000177308,0.000177308,0.000177308
51,29.6665,1.04688,1.5903,2.14363,0.82811,0,0.16549,0.47954,0.27018,0.1962,0.16199,0.4716,0.25981,0.15815,1.04283,1.13142,2.25002,0.79439,0,0.000173469,0.000173469,0.000173469
