epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,2.38527,4.23423,6.69167,4.11143,1.88221,0,0.0395,0.04,0.00491,0.00067,0.01797,0.01333,0.00109,0.00013,4.09947,7.21889,4.14704,1.97469,0,0,0,0
2,2.8821,3.83997,5.70696,3.47572,2.06452,0,0.03437,0.04,0.00459,0.00063,0.01772,0.01333,0.00109,0.00013,4.09226,7.19777,4.17616,1.95087,0,1.97525e-05,1.97525e-05,1.97525e-05
3,3.3287,3.85881,5.68752,3.51423,2.14334,0,0.03178,0.04,0.00461,0.00066,0.01891,0.01333,0.00111,0.00013,4.08221,7.16336,4.21603,1.93503,0,3.901e-05,3.901e-05,3.901e-05
4,3.82677,4.08599,6.23818,3.86977,1.78353,0,0.02689,0.04,0.00442,0.00064,0.01898,0.01333,0.00107,0.00013,4.07075,7.13886,4.25977,1.92739,0,5.77725e-05,5.77725e-05,5.77725e-05
5,4.15814,4.0893,6.09936,3.73252,2.03236,0,0.02608,0.04,0.0042,0.0006,0.01877,0.01333,0.00103,0.00012,4.05798,7.0966,4.29023,1.92102,0,7.604e-05,7.604e-05,7.604e-05
6,4.51945,3.92057,6.03317,3.6622,2.01108,0,0.02542,0.04,0.00417,0.00059,0.01859,0.01333,0.00114,0.00013,4.05157,7.0667,4.31324,1.92115,0,9.38125e-05,9.38125e-05,9.38125e-05
7,4.87966,3.87099,5.57359,3.62633,2.12299,0,0.50109,0.22769,0.19236,0.03958,0.37573,0.18667,0.10541,0.01814,3.07034,3.85748,3.11606,1.36324,0,0.00011109,0.00011109,0.00011109
8,5.36954,3.08672,3.74583,2.52962,1.38909,0,0.72137,0.49333,0.50838,0.22062,0.64338,0.44,0.4067,0.11856,1.88858,3.25759,2.02833,0.98381,0,0.000127872,0.000127872,0.000127872
9,5.84506,2.09336,3.25962,1.73571,1.03487,0,0.78694,0.65333,0.70307,0.35559,0.68582,0.53333,0.58791,0.23494,1.64781,2.63003,2.79636,0.92566,0,0.00014416,0.00014416,0.00014416
10,6.35811,1.73908,2.68742,1.18048,0.94401,0,0.76778,0.65333,0.74684,0.41036,0.68913,0.59118,0.62252,0.2715,1.48431,2.26144,3.20326,0.89122,0,0.000159952,0.000159952,0.000159952
11,6.85289,1.77332,2.5598,1.04451,0.90569,0,0.86482,0.8,0.86271,0.49693,0.77851,0.73333,0.78701,0.29718,1.42347,1.98578,2.15866,0.87956,0,0.00017525,0.00017525,0.00017525
12,7.32707,1.68368,2.12379,0.97359,0.90986,0,0.90188,0.82667,0.90156,0.49679,0.803,0.70667,0.69154,0.25285,1.51432,2.41761,2.28718,0.90704,0,0.000190053,0.000190053,0.000190053
13,7.8158,1.3584,1.79939,0.84725,0.87008,0,0.88692,0.77333,0.8263,0.41412,0.8118,0.70667,0.7378,0.26977,1.75709,3.06835,2.67881,0.95288,0,0.00020436,0.00020436,0.00020436
14,8.24164,1.11103,1.50207,0.81564,0.8602,0,0.91653,0.78667,0.89177,0.41762,0.92353,0.78667,0.8766,0.36579,1.74937,2.46427,1.94807,0.94066,0,0.000218173,0.000218173,0.000218173
15,8.69358,1.50144,1.86631,0.79915,0.86407,0,0.92414,0.82667,0.88458,0.48906,0.85512,0.77333,0.79036,0.37947,1.4654,1.81285,1.42709,0.8989,0,0.00023149,0.00023149,0.00023149
16,9.17953,1.29313,1.98487,0.79736,0.86362,0,0.91072,0.8,0.85443,0.49712,0.82134,0.73558,0.7205,0.32917,1.41096,2.05907,1.34998,0.89577,0,0.000244313,0.000244313,0.000244313
17,9.60674,1.4864,2.01124,0.79193,0.86749,0,0.93523,0.84,0.89977,0.49388,0.8451,0.76,0.7695,0.32011,1.47203,2.74823,1.47367,0.90472,0,0.00025664,0.00025664,0.00025664
18,10.0192,1.33987,1.86014,0.798,0.82324,0,0.93523,0.84,0.89977,0.49388,0.8451,0.76,0.7695,0.32011,1.47203,2.74823,1.47367,0.90472,0,0.000268473,0.000268473,0.000268473
