epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,3.78988,1.09524,1.58435,2.61881,1.07013,0,0.85976,0.96703,0.90831,0.77966,0.85976,0.96703,0.90831,0.6317,0.5432,0.63908,1.91844,0.82897,0,0.00028,0.00028,0.00028
2,5.34307,0.60154,0.60353,0.81994,0.85481,0,0.55847,0.58242,0.66787,0.56072,0.55847,0.58242,0.66787,0.46944,0.65986,0.55306,1.87435,0.84714,0,0.000568516,0.000568516,0.000568516
3,6.80563,0.59368,0.53775,0.75181,0.85848,0,0.53326,0.37363,0.4643,0.3432,0.62248,0.31868,0.42392,0.25365,0.97634,1.37175,2.28571,1.07943,0,0.000845152,0.000845152,0.000845152
4,8.28846,0.61538,0.63303,0.69242,0.84799,0,0.75036,0.34066,0.43812,0.31785,0.70195,0.31868,0.3635,0.19386,1.03277,4.9466,2.132,1.23216,0,0.00110991,0.00110991,0.00110991
5,9.95226,0.60637,0.58894,0.6627,0.86057,0,0.12096,0.45055,0.13473,0.10845,0.12096,0.45055,0.13394,0.09154,0.83538,4.64392,4.72148,0.9281,0,0.00136278,0.00136278,0.00136278
6,11.4502,0.58613,0.56564,0.57954,0.85136,0,0.60933,0.56044,0.63376,0.53453,0.62151,0.59549,0.64859,0.47338,0.70648,2.19415,1.53914,0.89415,0,0.00160378,0.00160378,0.00160378
7,12.8842,0.59534,0.6548,0.57774,0.86078,0,0.87469,0.84377,0.93653,0.79003,0.90888,0.82418,0.90136,0.62492,0.64227,1.31526,0.8116,0.86589,0,0.0017624,0.0017624,0.0017624
8,14.3915,0.62505,0.52242,0.64422,0.87004,0,0.89029,0.98094,0.97508,0.83316,0.8905,0.98311,0.97355,0.68119,0.5639,0.65656,0.74841,0.8361,0,0.0017228,0.0017228,0.0017228
9,15.9781,0.5641,0.48801,0.55437,0.84758,0,0.93592,0.91209,0.96342,0.81838,0.93592,0.91209,0.96342,0.6695,0.5635,0.62856,0.6213,0.84736,0,0.0016832,0.0016832,0.0016832
10,17.4491,0.53122,0.48946,0.57915,0.84736,0,0.89642,0.9511,0.9562,0.84004,0.88568,0.96703,0.9572,0.72913,0.5008,0.52222,0.76925,0.83249,0,0.0016436,0.0016436,0.0016436
11,19.0609,0.52666,0.51131,0.51387,0.8405,0,0.92405,0.93584,0.98004,0.84118,0.92405,0.93584,0.98004,0.70454,0.55331,0.53446,0.63092,0.83306,0,0.001604,0.001604,0.001604
12,20.5306,0.55509,0.46363,0.54597,0.84539,0,0.91566,0.95604,0.94471,0.82269,0.91566,0.95604,0.94471,0.71386,0.52935,0.53569,0.75166,0.83865,0,0.0015644,0.0015644,0.0015644
13,21.9357,0.52308,0.51657,0.52747,0.8493,0,0.93283,0.94505,0.9551,0.85138,0.93283,0.94505,0.9551,0.68158,0.44295,0.55366,0.56183,0.82259,0,0.0015248,0.0015248,0.0015248
14,23.3545,0.51354,0.42302,0.49418,0.85161,0,0.95684,0.97462,0.98232,0.88612,0.95684,0.97462,0.98232,0.71349,0.45061,0.48293,0.45679,0.81157,0,0.0014852,0.0014852,0.0014852
15,24.9096,0.50876,0.41244,0.47603,0.83884,0,0.93146,0.89614,0.97499,0.89709,0.93146,0.89614,0.97499,0.69382,0.41943,0.52143,0.46708,0.81043,0,0.0014456,0.0014456,0.0014456
16,26.5011,0.45397,0.44609,0.4704,0.83023,0,0.95599,0.89011,0.96125,0.86712,0.95599,0.89011,0.96125,0.71867,0.45481,0.49275,0.55276,0.82481,0,0.001406,0.001406,0.001406
17,27.9548,0.47614,0.44708,0.47195,0.84224,0,0.99226,0.74725,0.83834,0.75608,0.99226,0.74725,0.83834,0.58134,0.45931,0.44358,0.7874,0.84421,0,0.0013664,0.0013664,0.0013664
18,29.5062,0.46466,0.44998,0.47315,0.84511,0,0.94347,0.94505,0.96494,0.91298,0.94347,0.94505,0.96494,0.70981,0.39122,0.4006,0.48466,0.81562,0,0.0013268,0.0013268,0.0013268
19,31.0337,0.47409,0.40515,0.48032,0.85139,0,0.87316,0.98347,0.97324,0.89672,0.87316,0.98347,0.97324,0.71261,0.38592,0.43206,0.45045,0.81341,0,0.0012872,0.0012872,0.0012872
20,32.4638,0.44421,0.41125,0.45236,0.82978,0,1,0.88108,0.98329,0.90159,1,0.88108,0.98329,0.72413,0.39897,0.443,0.43399,0.81592,0,0.0012476,0.0012476,0.0012476
21,34.0735,0.41652,0.3495,0.44068,0.82752,0,0.96443,0.89386,0.97443,0.89888,0.96443,0.89386,0.97384,0.67254,0.37229,0.46741,0.47554,0.80886,0,0.001208,0.001208,0.001208
22,35.7326,0.40407,0.35599,0.4311,0.83367,0,0.94377,0.96703,0.98817,0.93106,0.94377,0.96703,0.98817,0.73007,0.35724,0.39993,0.38518,0.80613,0,0.0011684,0.0011684,0.0011684
23,37.188,0.40946,0.41503,0.41846,0.82211,0,0.93662,0.97802,0.98952,0.94194,0.93662,0.97802,0.98952,0.71212,0.3291,0.43108,0.38839,0.79818,0,0.0011288,0.0011288,0.0011288
24,38.6144,0.3952,0.32211,0.40886,0.81456,0,0.94623,0.98901,0.98668,0.9325,0.94623,0.98901,0.98668,0.72748,0.34758,0.39059,0.36867,0.79935,0,0.0010892,0.0010892,0.0010892
25,40.0969,0.4071,0.35965,0.40338,0.83059,0,0.96661,0.95427,0.98389,0.92101,0.96661,0.95427,0.98389,0.69937,0.35122,0.36515,0.39808,0.79805,0,0.0010496,0.0010496,0.0010496
26,41.6328,0.38106,0.33472,0.39924,0.8346,0,0.98552,0.91209,0.98218,0.92885,0.98552,0.91209,0.98218,0.67692,0.3454,0.42032,0.37372,0.80755,0,0.00101,0.00101,0.00101
27,43.2281,0.39284,0.39061,0.39112,0.82796,0,0.97051,0.89011,0.97257,0.91819,0.97051,0.89011,0.97257,0.69814,0.34025,0.41355,0.46787,0.81048,0,0.0009704,0.0009704,0.0009704
28,44.7154,0.37561,0.33085,0.37818,0.82331,0,0.96397,0.92308,0.9798,0.93251,0.96397,0.92308,0.9798,0.73884,0.30852,0.38342,0.36175,0.7955,0,0.0009308,0.0009308,0.0009308
29,46.2369,0.39041,0.29597,0.38222,0.82664,0,0.88954,0.97351,0.97294,0.93347,0.88954,0.97351,0.97294,0.71064,0.31086,0.40304,0.3861,0.8006,0,0.0008912,0.0008912,0.0008912
30,47.6462,0.37048,0.32713,0.35114,0.82978,0,0.94021,0.89011,0.96184,0.91876,0.94021,0.89011,0.96069,0.68304,0.31057,0.41488,0.4375,0.80565,0,0.0008516,0.0008516,0.0008516
31,49.0959,0.3607,0.29789,0.36951,0.82526,0,0.92079,0.89425,0.96807,0.91592,0.92079,0.89425,0.96807,0.70336,0.32232,0.39948,0.41189,0.80984,0,0.000812,0.000812,0.000812
32,50.6398,0.36361,0.36333,0.34881,0.81741,0,0.95061,0.91209,0.97554,0.93988,0.95061,0.91209,0.97547,0.6927,0.26944,0.39207,0.3646,0.8005,0,0.0007724,0.0007724,0.0007724
33,52.214,0.33536,0.28812,0.33549,0.81569,0,0.93119,0.92308,0.97295,0.9398,0.93119,0.92308,0.97285,0.70007,0.28217,0.3966,0.35811,0.80019,0,0.0007328,0.0007328,0.0007328
34,53.634,0.34573,0.29737,0.34847,0.81547,0,0.94209,0.93407,0.9818,0.94735,0.94209,0.93407,0.9818,0.71821,0.27683,0.39008,0.32246,0.79684,0,0.0006932,0.0006932,0.0006932
35,55.2285,0.33114,0.34176,0.33873,0.81583,0,0.92506,0.94954,0.9805,0.94744,0.92506,0.94954,0.9805,0.70087,0.27427,0.36965,0.33616,0.79601,0,0.0006536,0.0006536,0.0006536
36,56.6765,0.32562,0.2893,0.3099,0.81201,0,0.92291,0.96703,0.98011,0.94395,0.92291,0.96703,0.98011,0.69877,0.26993,0.36692,0.34199,0.79456,0,0.000614,0.000614,0.000614
37,58.1387,0.31409,0.29501,0.31286,0.81426,0,0.93593,0.96325,0.97535,0.94147,0.93593,0.96325,0.97535,0.68739,0.27643,0.39917,0.35146,0.79316,0,0.0005744,0.0005744,0.0005744
38,59.7659,0.31058,0.29826,0.30938,0.81303,0,0.90772,0.97286,0.98001,0.9448,0.90772,0.97286,0.98001,0.71189,0.26115,0.38662,0.32027,0.79331,0,0.0005348,0.0005348,0.0005348
39,61.3508,0.30508,0.28876,0.29775,0.81224,0,0.94994,0.91209,0.98039,0.94258,0.94994,0.91209,0.98039,0.71002,0.2608,0.43929,0.3328,0.79078,0,0.0004952,0.0004952,0.0004952
40,62.7598,0.30005,0.28079,0.31031,0.80673,0,0.94269,0.90383,0.97823,0.94579,0.94269,0.90383,0.97823,0.71355,0.25016,0.40633,0.33868,0.78957,0,0.0004556,0.0004556,0.0004556
41,64.7032,0.27148,0.24328,0.29954,0.80676,0,0.96351,0.91209,0.98169,0.94414,0.96351,0.91209,0.98169,0.71509,0.25309,0.40193,0.32481,0.78928,0,0.000416,0.000416,0.000416
42,66.3123,0.24589,0.26422,0.27338,0.79286,0,0.96222,0.91209,0.98462,0.95378,0.96222,0.91209,0.98462,0.70379,0.2478,0.45272,0.30394,0.78873,0,0.0003764,0.0003764,0.0003764
43,67.9129,0.25962,0.27491,0.25963,0.78619,0,0.96512,0.91225,0.98169,0.94903,0.96512,0.91225,0.98169,0.72104,0.2625,0.41661,0.31404,0.79306,0,0.0003368,0.0003368,0.0003368
44,69.397,0.2529,0.33032,0.26084,0.78273,0,0.98004,0.91209,0.9743,0.95029,0.98004,0.91209,0.9743,0.71598,0.25689,0.39434,0.3198,0.79011,0,0.0002972,0.0002972,0.0002972
45,70.9492,0.26307,0.29093,0.26257,0.78949,0,0.98404,0.91209,0.97214,0.94421,0.98404,0.91209,0.97214,0.72842,0.25172,0.37361,0.32077,0.79246,0,0.0002576,0.0002576,0.0002576
46,72.3903,0.24248,0.3099,0.26281,0.78859,0,0.97293,0.91209,0.96317,0.93397,0.97293,0.91209,0.96317,0.70397,0.25604,0.37594,0.34786,0.79608,0,0.000218,0.000218,0.000218
47,73.8094,0.25077,0.26381,0.24333,0.77893,0,0.9712,0.92308,0.9608,0.93501,0.9712,0.92308,0.9608,0.70068,0.24434,0.39253,0.34764,0.79506,0,0.0001784,0.0001784,0.0001784
48,75.322,0.23773,0.25558,0.25774,0.78473,0,0.9578,0.91209,0.95739,0.92988,0.9578,0.91209,0.95739,0.69873,0.23948,0.40495,0.358,0.79583,0,0.0001388,0.0001388,0.0001388
49,77.0032,0.23491,0.22813,0.24422,0.78566,0,0.95138,0.92308,0.95752,0.93622,0.95138,0.92308,0.95752,0.7069,0.23503,0.39617,0.34004,0.79567,0,9.92e-05,9.92e-05,9.92e-05
50,78.3991,0.2165,0.24289,0.23027,0.78392,0,0.97637,0.90831,0.96124,0.94208,0.97637,0.90831,0.96124,0.70787,0.22796,0.38852,0.32993,0.7955,0,5.96e-05,5.96e-05,5.96e-05
