epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,19.1115,0.88709,1.29529,0.92524,1.00747,0,1,0.1305,0.70129,0.45244,1,0.1305,0.69362,0.44242,1.13031,1.8387,2.21921,0.93925,0,0.00110535,0.00110535,0.00110535
29,19.6721,0.92862,1.25107,0.8605,0.93804,0,1,0.1305,0.70129,0.45244,1,0.1305,0.69362,0.44242,1.13031,1.8387,2.21921,0.93925,0,0.00112402,0.00112402,0.00112402
30,20.2344,0.85,1.25861,0.85785,0.96063,0,1,0.2282,0.77601,0.52591,1,0.2282,0.77653,0.47511,1.10874,1.80077,2.11298,0.92689,0,0.0011412,0.0011412,0.0011412
31,20.8169,0.90031,1.27825,0.83536,0.95817,0,0.95868,0.55911,0.89756,0.56318,0.95868,0.55911,0.89581,0.47326,1.24687,1.84192,1.82404,0.95971,0,0.0011569,0.0011569,0.0011569
32,21.4072,0.9029,1.28661,0.81137,0.94543,0,0.94149,0.85542,0.93833,0.6523,0.94149,0.85542,0.94829,0.54551,1.11101,1.8899,1.39835,0.95098,0,0.00117111,0.00117111,0.00117111
33,22.0523,0.80136,1.33878,0.87068,0.9534,0,0.94149,0.85542,0.93833,0.6523,0.94149,0.85542,0.94829,0.54551,1.11101,1.8899,1.39835,0.95098,0,0.00118384,0.00118384,0.00118384
34,22.6883,0.82057,1.18377,0.84235,0.90997,0,0.92488,0.8901,0.95885,0.62887,0.91753,0.87952,0.93992,0.51898,1.17966,1.9273,1.30052,0.96252,0,0.00118325,0.00118325,0.00118325
35,23.2545,0.82003,1.25727,0.86916,0.93502,0,0.92398,0.85542,0.93003,0.54592,0.94794,0.87763,0.94724,0.44284,1.39427,2.12232,1.47275,1.00687,0,0.0011585,0.0011585,0.0011585
36,23.833,0.81694,1.27211,0.88402,1.00853,0,0.9327,0.84337,0.90961,0.56688,0.9327,0.84337,0.91454,0.46232,1.27899,1.91136,1.59175,0.99312,0,0.00113375,0.00113375,0.00113375
37,24.404,0.77445,1.24408,0.77271,0.90922,0,0.9327,0.84337,0.90961,0.56688,0.9327,0.84337,0.91454,0.46232,1.27899,1.91136,1.59175,0.99312,0,0.001109,0.001109,0.001109
38,24.9663,0.79845,1.21485,0.81817,0.96849,0,0.9379,0.84337,0.92192,0.63666,0.9379,0.84337,0.92192,0.58766,1.08076,1.70581,1.45949,0.95417,0,0.00108425,0.00108425,0.00108425
39,25.5349,0.90253,1.23712,0.82007,0.96297,0,0.92397,0.87849,0.92756,0.63352,0.92397,0.87849,0.92756,0.59601,1.09884,1.67022,1.29503,0.95489,0,0.0010595,0.0010595,0.0010595
40,26.0953,0.81265,1.30117,0.81329,1.0036,0,0.93867,0.92201,0.95266,0.67281,0.93867,0.92201,0.95266,0.60026,1.06161,1.64477,1.16629,0.9224,0,0.00103475,0.00103475,0.00103475
41,26.6617,0.8048,1.28685,0.71726,0.95084,0,0.93867,0.92201,0.95266,0.67281,0.93867,0.92201,0.95266,0.60026,1.06161,1.64477,1.16629,0.9224,0,0.00101,0.00101,0.00101
42,27.2338,0.76872,1.18057,0.69625,0.94915,0,0.96261,0.93047,0.95656,0.68758,0.96271,0.93328,0.96545,0.57858,1.08618,1.66329,1.09602,0.91734,0,0.00098525,0.00098525,0.00098525
43,27.792,0.73415,1.1698,0.71341,0.93185,0,0.97498,0.93896,0.95661,0.69625,0.97021,0.93976,0.96635,0.59162,1.0391,1.62302,0.98322,0.90806,0,0.0009605,0.0009605,0.0009605
44,28.357,0.73142,1.30884,0.81863,1.00867,0,0.94704,0.92771,0.96339,0.68997,0.94704,0.92771,0.96374,0.58927,1.03299,1.61151,0.90093,0.91949,0,0.00093575,0.00093575,0.00093575
45,28.9208,0.74917,1.23889,0.66633,0.89801,0,0.94704,0.92771,0.96339,0.68997,0.94704,0.92771,0.96374,0.58927,1.03299,1.61151,0.90093,0.91949,0,0.000911,0.000911,0.000911
