epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,4.35539,1.16331,2.21481,3.08869,1.03048,0,0.00417,0.18072,0.00611,0.00445,0.00472,0.20482,0.00632,0.00499,1.02949,1.24402,3.46095,0.907,0,4e-05,4e-05,4e-05
2,4.98022,1.20222,2.12194,3.10422,1.06161,0,0.00417,0.18072,0.0062,0.00475,0.00528,0.22892,0.00615,0.00529,1.06782,1.21288,3.45427,0.91043,0,9.87625e-05,9.87625e-05,9.87625e-05
3,5.58532,0.93444,1.91728,3.0351,0.99785,0,0.01472,0.63855,0.08942,0.08103,0.015,0.6506,0.08991,0.08025,0.79671,0.98877,3.38201,0.83496,0,0.00015604,0.00015604,0.00015604
4,6.24544,0.58008,0.82983,1.92366,0.88144,0,0.02111,0.91566,0.13349,0.11395,0.02083,0.90361,0.13268,0.11202,1.08152,1.14209,3.26361,0.85006,0,0.000211833,0.000211833,0.000211833
5,6.88223,0.67441,0.67498,1.18732,0.84438,0,0.48404,0.09639,0.1359,0.10557,0.48404,0.09639,0.13413,0.10229,0.88321,1.39871,3.20617,0.83934,0,0.00026614,0.00026614,0.00026614
6,7.49633,0.71677,0.70293,1.02712,0.85106,0,0.02,0.86747,0.12308,0.06294,0.02083,0.90361,0.12582,0.05497,0.88449,1.54397,3.29677,0.90645,0,0.000318963,0.000318963,0.000318963
7,8.12126,0.66366,0.68555,0.88752,0.85231,0,0.73312,0.04819,0.09342,0.03192,0.73312,0.04819,0.09833,0.02895,0.9483,1.82569,3.34843,0.99943,0,0.0003703,0.0003703,0.0003703
8,8.74607,0.69815,0.75326,0.94635,0.839,0,0.70004,0.03614,0.08241,0.02435,0.70004,0.03614,0.08646,0.02459,0.98446,1.83893,3.35803,1.02657,0,0.000420152,0.000420152,0.000420152
9,9.37201,0.59096,0.50647,1.00224,0.85654,0,0.01833,0.79518,0.08073,0.03931,0.01917,0.83133,0.08141,0.04914,1.07434,1.65676,3.3118,0.94157,0,0.00046852,0.00046852,0.00046852
10,9.97297,0.5644,0.4648,0.90274,0.86344,0,1,0.02344,0.09981,0.07448,1,0.02344,0.10279,0.08451,1.04985,1.32928,3.27454,0.91089,0,0.000515403,0.000515403,0.000515403
11,10.5822,0.52819,0.51078,0.86977,0.87564,0,0.15972,0.08434,0.10068,0.03829,0.12451,0.09639,0.10451,0.06166,1.02978,1.61914,3.25376,0.91454,0,0.0005608,0.0005608,0.0005608
12,11.1928,0.60681,0.59778,0.84842,0.8452,0,0.01778,0.77108,0.07638,0.02953,0.01944,0.84337,0.08197,0.03856,1.0552,1.76643,3.26191,0.94507,0,0.000604713,0.000604713,0.000604713
13,11.8857,0.58467,0.46901,0.8356,0.86492,0,0.01778,0.77108,0.03897,0.01665,0.08139,0.07229,0.08426,0.03066,1.05849,2.24367,3.22645,0.98641,0,0.00064714,0.00064714,0.00064714
14,12.6408,0.62753,0.66627,0.8068,0.85125,0,0.01889,0.81928,0.06038,0.02457,0.39018,0.06177,0.09328,0.04669,0.9628,1.4524,3.16875,0.94943,0,0.000688083,0.000688083,0.000688083
15,13.2595,0.54613,0.52034,0.78943,0.85981,0,0.71383,0.06013,0.10129,0.05811,0.5799,0.07229,0.11404,0.0858,0.93586,1.13043,3.10823,0.89851,0,0.00072754,0.00072754,0.00072754
16,13.8744,0.4971,0.43055,0.80708,0.83906,0,1,0.05762,0.11244,0.08031,1,0.05762,0.11657,0.09152,0.90876,1.06855,3.09013,0.85944,0,0.000765512,0.000765512,0.000765512
17,14.507,0.55803,0.48366,0.70682,0.8424,0,0.82978,0.08434,0.10666,0.07753,0.94967,0.09639,0.11906,0.08785,0.88684,1.26988,3.05484,0.8632,0,0.000802,0.000802,0.000802
18,15.1128,0.58131,0.52193,0.78505,0.8322,0,0.7883,0.09639,0.11151,0.09052,0.79296,0.09639,0.11687,0.09589,0.89059,1.13787,3.01292,0.86034,0,0.000837003,0.000837003,0.000837003
19,15.7187,0.51365,0.49764,0.8153,0.88308,0,0.85372,0.09639,0.11296,0.09748,0.85372,0.09639,0.11746,0.10338,0.99225,1.28186,2.96823,0.87344,0,0.00087052,0.00087052,0.00087052
20,16.3202,0.47632,0.3766,0.77758,0.86882,0,0.97902,0.09639,0.11759,0.10321,0.97902,0.09639,0.11955,0.10681,1.00161,1.33864,2.93262,0.87284,0,0.000902552,0.000902552,0.000902552
21,16.9474,0.64191,0.61645,0.73354,0.87761,0,0.97126,0.09639,0.1209,0.1086,0.97126,0.09639,0.12136,0.10904,0.88646,1.10147,2.84387,0.84725,0,0.0009331,0.0009331,0.0009331
22,17.5517,0.5264,0.35474,0.79024,0.90898,0,0.98454,0.09639,0.12149,0.10587,0.98454,0.09639,0.12161,0.10957,0.81581,1.03282,2.80491,0.83281,0,0.000962162,0.000962162,0.000962162
23,18.156,0.49677,0.40363,0.72686,0.87192,0,0.9832,0.09639,0.12909,0.11518,0.9832,0.09639,0.12825,0.11481,0.7471,1.03527,2.68936,0.82785,0,0.00098974,0.00098974,0.00098974
24,18.7988,0.48624,0.41826,0.80279,0.86597,0,1,0.10616,0.36973,0.31197,1,0.10616,0.3702,0.2973,0.78313,0.95655,2.48925,0.83572,0,0.00101583,0.00101583,0.00101583
25,19.4573,0.66062,0.54702,0.72624,0.86161,0,0.6021,0.07229,0.49859,0.42075,0.6021,0.07229,0.49853,0.34379,0.73891,0.95106,2.48167,0.83459,0,0.00104044,0.00104044,0.00104044
26,20.0981,0.58241,0.42578,0.84358,0.87728,0,1,0.08357,0.49136,0.39347,1,0.08357,0.4943,0.34112,0.79816,1.08147,2.47881,0.84153,0,0.00106356,0.00106356,0.00106356
