epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,44.9897,0.36957,0.54597,0.4085,0.83491,0,0.89288,0.91579,0.95009,0.92256,0.89288,0.91579,0.94976,0.83783,0.31773,0.76266,0.43599,0.81921,0,0.0009308,0.0009308,0.0009308
29,46.6879,0.39119,0.56954,0.42147,0.84814,0,0.88794,0.92632,0.94596,0.90754,0.88794,0.92632,0.94596,0.8507,0.32197,0.70021,0.43742,0.81528,0,0.0008912,0.0008912,0.0008912
30,48.1695,0.36243,0.48609,0.38812,0.83231,0,0.90225,0.90526,0.94376,0.90474,0.90225,0.90526,0.9444,0.83576,0.35135,0.61516,0.45745,0.81427,0,0.0008516,0.0008516,0.0008516
31,49.6714,0.35039,0.46402,0.3904,0.82246,0,0.91466,0.90252,0.93327,0.91263,0.91466,0.90252,0.93685,0.82511,0.28167,0.62985,0.46326,0.8081,0,0.000812,0.000812,0.000812
32,51.1798,0.36093,0.48873,0.40305,0.8373,0,0.88844,0.92212,0.94127,0.91293,0.89632,0.91579,0.93823,0.84164,0.29396,0.68311,0.42392,0.8112,0,0.0007724,0.0007724,0.0007724
33,52.6251,0.35934,0.55116,0.40027,0.83746,0,0.89793,0.92603,0.93268,0.89142,0.90157,0.89474,0.92305,0.81922,0.31131,0.80787,0.44353,0.82139,0,0.0007328,0.0007328,0.0007328
34,54.1726,0.33304,0.45751,0.35899,0.82873,0,0.88696,0.90852,0.93102,0.89935,0.8797,0.9237,0.93273,0.82635,0.2758,0.7084,0.44776,0.7987,0,0.0006932,0.0006932,0.0006932
35,55.8147,0.3252,0.45977,0.34516,0.8363,0,0.88647,0.90416,0.93363,0.90448,0.8847,0.92632,0.9378,0.83536,0.28912,0.69119,0.45388,0.80913,0,0.0006536,0.0006536,0.0006536
36,57.3043,0.31977,0.47054,0.34189,0.83168,0,0.88011,0.91579,0.93448,0.90516,0.88011,0.91579,0.93583,0.84607,0.27416,0.66878,0.4451,0.81135,0,0.000614,0.000614,0.000614
37,58.7266,0.30875,0.48419,0.32653,0.83452,0,0.88532,0.8939,0.92274,0.88674,0.88532,0.8939,0.92413,0.83178,0.28326,0.69273,0.45473,0.81665,0,0.0005744,0.0005744,0.0005744
38,60.2657,0.32894,0.48969,0.32978,0.84135,0,0.90906,0.84211,0.9382,0.90717,0.90906,0.84211,0.94053,0.85422,0.27813,0.64037,0.44155,0.81167,0,0.0005348,0.0005348,0.0005348
39,61.8133,0.32676,0.50967,0.36976,0.82986,0,0.9175,0.85263,0.93917,0.91339,0.9175,0.85263,0.93917,0.84648,0.26081,0.62092,0.43513,0.7898,0,0.0004952,0.0004952,0.0004952
40,63.3442,0.30796,0.42754,0.33991,0.81499,0,0.86608,0.91579,0.94496,0.91432,0.86608,0.91579,0.94496,0.85603,0.26109,0.67775,0.42651,0.79235,0,0.0004556,0.0004556,0.0004556
41,65.439,0.25639,0.38978,0.29081,0.80599,0,0.89419,0.88961,0.94049,0.91226,0.89419,0.88961,0.94049,0.84353,0.25346,0.71282,0.4098,0.79098,0,0.000416,0.000416,0.000416
42,66.8507,0.24031,0.39781,0.28362,0.79244,0,0.87863,0.91448,0.94113,0.91143,0.87863,0.91448,0.94165,0.83757,0.27847,0.70772,0.43163,0.80055,0,0.0003764,0.0003764,0.0003764
43,68.2672,0.25334,0.39397,0.29351,0.80427,0,0.90198,0.87182,0.93268,0.8915,0.90198,0.87182,0.93337,0.82339,0.27707,0.65882,0.44774,0.80082,0,0.0003368,0.0003368,0.0003368
44,69.7788,0.23985,0.37491,0.26188,0.79679,0,0.89149,0.8648,0.92172,0.88233,0.88064,0.85427,0.92243,0.81788,0.28251,0.65945,0.46473,0.80023,0,0.0002972,0.0002972,0.0002972
45,71.5259,0.24621,0.39075,0.26124,0.78754,0,0.90071,0.85942,0.93078,0.90279,0.90071,0.85942,0.93126,0.8458,0.26507,0.64555,0.41743,0.80573,0,0.0002576,0.0002576,0.0002576
46,73.0466,0.22889,0.36829,0.25345,0.79684,0,0.91872,0.86316,0.94521,0.91923,0.91872,0.86316,0.94521,0.85534,0.23372,0.61865,0.39515,0.80079,0,0.000218,0.000218,0.000218
47,74.5616,0.21961,0.32859,0.23564,0.78933,0,0.92021,0.89474,0.94573,0.91255,0.92021,0.89474,0.947,0.84901,0.2553,0.63132,0.3977,0.80853,0,0.0001784,0.0001784,0.0001784
48,76.0699,0.22393,0.34047,0.24216,0.78959,0,0.92174,0.87368,0.94714,0.91489,0.91394,0.87368,0.949,0.85548,0.25702,0.62528,0.41197,0.8128,0,0.0001388,0.0001388,0.0001388
49,77.5052,0.20494,0.32693,0.22465,0.77649,0,0.92068,0.87368,0.94181,0.91054,0.92068,0.87368,0.94216,0.85312,0.26001,0.62968,0.41735,0.82028,0,9.92e-05,9.92e-05,9.92e-05
50,79.1013,0.19854,0.34198,0.22292,0.77082,0,0.92252,0.87737,0.93945,0.90749,0.92252,0.87737,0.93945,0.85598,0.26706,0.63261,0.40885,0.82373,0,5.96e-05,5.96e-05,5.96e-05
