epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,19.1927,0.53466,0.58156,0.89413,0.89229,0.92771,0.90536,0.71151,0.85056,0.84621,0.86855,0.000840286,0.000840286,0.000840286
43,19.5982,0.48779,0.58201,0.88102,0.93191,0.95181,0.94834,0.74894,0.72379,0.75197,0.84806,0.000812,0.000812,0.000812
44,20.0015,0.48508,0.67835,0.93667,0.93212,0.95181,0.95217,0.75798,0.67189,0.74831,0.83692,0.000783714,0.000783714,0.000783714
45,20.4013,0.59472,0.58351,0.88189,0.93212,0.95181,0.95217,0.75798,0.67189,0.74831,0.83692,0.000755429,0.000755429,0.000755429
46,20.8036,0.55565,0.59321,0.89972,0.95908,0.95181,0.95169,0.78393,0.65168,0.74873,0.83451,0.000727143,0.000727143,0.000727143
47,21.2145,0.53059,0.59037,0.88522,0.96897,0.95181,0.95292,0.79359,0.61272,0.66887,0.83525,0.000698857,0.000698857,0.000698857
48,21.6197,0.56664,0.57884,0.87037,0.945,0.93976,0.93523,0.77437,0.64566,0.58578,0.83743,0.000670571,0.000670571,0.000670571
49,22.0097,0.45966,0.51835,0.84255,0.945,0.93976,0.93523,0.77437,0.64566,0.58578,0.83743,0.000642286,0.000642286,0.000642286
50,22.4062,0.53528,0.5827,0.88606,0.93193,0.92771,0.93638,0.74804,0.73322,0.56849,0.84235,0.000614,0.000614,0.000614
51,22.8008,0.57442,0.58953,0.87613,0.93332,0.92771,0.93638,0.75033,0.76109,0.5534,0.84269,0.000585714,0.000585714,0.000585714
52,23.252,0.60732,0.53023,0.84605,0.93778,0.93976,0.94478,0.76898,0.6884,0.5482,0.83698,0.000557429,0.000557429,0.000557429
53,23.6411,0.51921,0.57858,0.88132,0.93778,0.93976,0.94478,0.76898,0.6884,0.5482,0.83698,0.000529143,0.000529143,0.000529143
54,24.0342,0.47795,0.55235,0.86943,0.94007,0.945,0.93998,0.78586,0.62475,0.5218,0.83187,0.000500857,0.000500857,0.000500857
55,24.4268,0.45256,0.55073,0.88557,0.9287,0.94166,0.94187,0.78826,0.61954,0.51893,0.8344,0.000472571,0.000472571,0.000472571
56,24.8236,0.48893,0.56047,0.87149,0.94113,0.93976,0.94627,0.80421,0.60098,0.53428,0.83117,0.000444286,0.000444286,0.000444286
57,25.2233,0.46573,0.52195,0.85993,0.94113,0.93976,0.94627,0.80421,0.60098,0.53428,0.83117,0.000416,0.000416,0.000416
58,25.6217,0.38282,0.59549,0.90047,0.94716,0.95181,0.95901,0.80617,0.57393,0.51387,0.82416,0.000387714,0.000387714,0.000387714
59,26.0286,0.4158,0.52062,0.86447,0.91797,0.94382,0.95306,0.80813,0.56953,0.49069,0.8227,0.000359429,0.000359429,0.000359429
60,26.435,0.4324,0.50729,0.8781,0.93983,0.94102,0.95704,0.7993,0.60346,0.48061,0.82499,0.000331143,0.000331143,0.000331143
61,27.3819,0.33922,0.59303,0.83117,0.93983,0.94102,0.95704,0.7993,0.60346,0.48061,0.82499,0.000302857,0.000302857,0.000302857
62,27.803,0.32037,0.57512,0.83029,0.93153,0.93976,0.95629,0.79603,0.60576,0.4724,0.82532,0.000274571,0.000274571,0.000274571
63,28.1952,0.33303,0.57175,0.81443,0.93195,0.93976,0.95732,0.78613,0.60907,0.46929,0.82682,0.000246286,0.000246286,0.000246286
64,28.5852,0.30095,0.60416,0.8164,0.95686,0.95181,0.97381,0.80226,0.60927,0.47433,0.82798,0.000218,0.000218,0.000218
65,29.0497,0.33884,0.56442,0.79358,0.95686,0.95181,0.97381,0.80226,0.60927,0.47433,0.82798,0.000189714,0.000189714,0.000189714
66,29.4407,0.33572,0.59605,0.79621,0.94966,0.95181,0.9689,0.80815,0.59277,0.47532,0.82728,0.000161429,0.000161429,0.000161429
67,29.8437,0.37847,0.61997,0.76736,0.95211,0.95819,0.96937,0.80714,0.57189,0.46667,0.82543,0.000133143,0.000133143,0.000133143
68,30.2391,0.30074,0.5587,0.79155,0.93294,0.93976,0.94535,0.80527,0.56588,0.46442,0.82687,0.000104857,0.000104857,0.000104857
69,30.624,0.31421,0.54774,0.76996,0.93294,0.93976,0.94535,0.80527,0.56588,0.46442,0.82687,7.65714e-05,7.65714e-05,7.65714e-05
70,31.0156,0.33837,0.58892,0.78423,0.93204,0.93976,0.94486,0.80993,0.55948,0.46616,0.82635,4.82857e-05,4.82857e-05,4.82857e-05
